x, y, solution
0.904762,0.174603,-0.501698
0.920635,0.174603,-0.425938
0.936508,0.174603,-0.345944
0.952381,0.174603,-0.262512
0.968254,0.174603,-0.176471
0.984127,0.174603,-0.0886761
1,0.174603,0
0,0.190476,0
0.015873,0.190476,0.0927619
0.031746,0.190476,0.184602
0.047619,0.190476,0.274607
0.0634921,0.190476,0.361884
0.0793651,0.190476,0.445563
0.0952381,0.190476,0.524815
0.111111,0.190476,0.59885
0.126984,0.190476,0.666934
0.142857,0.190476,0.72839
0.15873,0.190476,0.782606
0.174603,0.190476,0.829045
0.190476,0.190476,0.867244
0.206349,0.190476,0.896825
0.222222,0.190476,0.917492
0.238095,0.190476,0.929041
0.253968,0.190476,0.931356
0.269841,0.190476,0.924415
0.285714,0.190476,0.908287
0.301587,0.190476,0.883132
0.31746,0.190476,0.8492
0.333333,0.190476,0.806829
0.349206,0.190476,0.756438
0.365079,0.190476,0.69853
0.380952,0.190476,0.63368
0.396825,0.190476,0.562532
0.412698,0.190476,0.485793
0.428571,0.190476,0.404226
0.444444,0.190476,0.318642
0.460317,0.190476,0.22989
0.47619,0.190476,0.138855
0.492063,0.190476,0.0464387
0.507937,0.190476,-0.0464387
0.52381,0.190476,-0.138855
0.539683,0.190476,-0.22989
0.555556,0.190476,-0.318642
0.571429,0.190476,-0.404226
0.587302,0.190476,-0.485793
0.603175,0.190476,-0.562532
0.619048,0.190476,-0.63368
0.634921,0.190476,-0.69853
0.650794,0.190476,-0.756438
0.666667,0.190476,-0.806829
0.68254,0.190476,-0.8492
0.698413,0.190476,-0.883132
0.714286,0.190476,-0.908287
0.730159,0.190476,-0.924415
0.746032,0.190476,-0.931356
0.761905,0.190476,-0.929041
0.777778,0.190476,-0.917492
0.793651,0.190476,-0.896825
0.809524,0.190476,-0.867244
0.825397,0.190476,-0.829045
0.84127,0.190476,-0.782606
0.857143,0.190476,-0.72839
0.873016,0.190476,-0.666934
0.888889,0.190476,-0.59885
0.904762,0.190476,-0.524815
0.920635,0.190476,-0.445563
0.936508,0.190476,-0.361884
0.952381,0.190476,-0.274607
0.968254,0.190476,-0.184602
0.984127,0.190476,-0.0927619
1,0.190476,0
0,0.206349,0
0.015873,0.206349,0.0959259
0.031746,0.206349,0.190898
0.047619,0.206349,0.283974
0.0634921,0.206349,0.374227
0.0793651,0.206349,0.460761
0.0952381,0.206349,0.542715
0.111111,0.206349,0.619276
0.126984,0.206349,0.689682
0.142857,0.206349,0.753234
0.15873,0.206349,0.8093
0.174603,0.206349,0.857322
0.190476,0.206349,0.896825
0.206349,0.206349,0.927414
0.222222,0.206349,0.948786
0.238095,0.206349,0.960729
0.253968,0.206349,0.963123
0.269841,0.206349,0.955946
0.285714,0.206349,0.939267
0.301587,0.206349,0.913254
0.31746,0.206349,0.878165
0.333333,0.206349,0.834348
0.349206,0.206349,0.782239
0.365079,0.206349,0.722356
0.380952,0.206349,0.655294
0.396825,0.206349,0.581719
0.412698,0.206349,0.502362
0.428571,0.206349,0.418013
0.444444,0.206349,0.32951
0.460317,0.206349,0.237732
0.47619,0.206349,0.143591
0.492063,0.206349,0.0480226
0.507937,0.206349,-0.0480226
0.52381,0.206349,-0.143591
0.539683,0.206349,-0.237732
0.555556,0.206349,-0.32951
0.571429,0.206349,-0.418013
0.587302,0.206349,-0.502362
0.603175,0.206349,-0.581719
0.619048,0.206349,-0.655294
0.634921,0.206349,-0.722356
0.650794,0.206349,-0.782239
0.666667,0.206349,-0.834348
0.68254,0.206349,-0.878165
0.698413,0.206349,-0.913254
0.714286,0.206349,-0.939267
0.730159,0.206349,-0.955946
0.746032,0.206349,-0.963123
0.761905,0.206349,-0.960729
0.777778,0.206349,-0.948786
0.793651,0.206349,-0.927414
0.809524,0.206349,-0.896825
0.825397,0.206349,-0.857322
0.84127,0.206349,-0.8093
0.857143,0.206349,-0.753234
0.873016,0.206349,-0.689682
0.888889,0.206349,-0.619276
0.904762,0.206349,-0.542715
0.920635,0.206349,-0.460761
0.936508,0.206349,-0.374227
0.952381,0.206349,-0.283974
0.968254,0.206349,-0.190898
0.984127,0.206349,-0.0959259
1,0.206349,0
0,0.222222,0
0.015873,0.222222,0.0981365
0.031746,0.222222,0.195298
0.047619,0.222222,0.290518
0.0634921,0.222222,0.382851
0.0793651,0.222222,0.471379
0.0952381,0.222222,0.555222
0.111111,0.222222,0.633547
0.126984,0.222222,0.705576
0.142857,0.222222,0.770592
0.15873,0.222222,0.82795
0.174603,0.222222,0.877079
0.190476,0.222222,0.917492
0.206349,0.222222,0.948786
0.222222,0.222222,0.970651
0.238095,0.222222,0.982868
0.253968,0.222222,0.985318
0.269841,0.222222,0.977975
0.285714,0.222222,0.960913
0.301587,0.222222,0.9343
